,wikidata,bathwateridentifier,status,eionet,euType,euMotive,NotEuMotive,link,WD
75,Q106707144,SE0441286000000351,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441286000000351,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441286000000351'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707144'>link WD</a>
78,Q106707149,SE0A11315000000359,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11315000000359,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11315000000359'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707149'>link WD</a>
81,Q106707154,SE0A11380000000369,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11380000000369,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11380000000369'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707154'>link WD</a>
82,Q106707153,SE0A11380000000368,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11380000000368,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11380000000368'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707153'>link WD</a>
83,Q106707155,SE0A11380000000370,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11380000000370,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11380000000370'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707155'>link WD</a>
85,Q106707156,SE0A11380000000377,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11380000000377,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11380000000377'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707156'>link WD</a>
86,Q106707159,SE0A11380000000381,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11380000000381,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11380000000381'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707159'>link WD</a>
87,Q106707157,SE0A11380000000378,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11380000000378,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11380000000378'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707157'>link WD</a>
89,Q106707162,SE0A21480000000385,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000385,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000385'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707162'>link WD</a>
92,Q106707164,SE0A21480000000388,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000388,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000388'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707164'>link WD</a>
