,wikidata,coord,osmid
2098,Q106708415,,
2099,Q106708414,,
2100,Q106708992,,
2101,Q106708306,,
2102,Q106707612,,
2103,Q106707617,,
2104,Q106707773,,
2105,Q106707533,,
2106,Q106709002,,
2107,Q106707093,,
2108,Q106708998,,
2109,Q106709330,,
2110,Q106709195,,
2111,Q106708472,,
2112,Q106709321,,
2113,Q106708566,,
2115,Q106709064,,
2116,Q106711875,,
2117,Q106707810,,
2118,Q106708077,,
2119,Q106711942,,
2120,Q106711860,,
2121,Q106711303,,
2122,Q106708068,,
2123,Q106709129,,
2124,Q106711876,,
2125,Q106709350,,
2126,Q106712219,,
2129,Q106708508,,
2130,Q106708289,,
2131,Q106707763,,
2132,Q106711858,,
2133,Q106712320,,
2134,Q106707726,,
2136,Q106709061,,
2137,Q106711951,,
2138,Q106707795,,
2139,Q106708430,,
2140,Q106711921,,
2141,Q106707986,,
2143,Q106710180,,
2144,Q106710171,,
2146,Q106709193,,
2147,Q106707517,,
2148,Q106709397,,
2149,Q106708484,,
2150,Q106708006,,
2151,Q106708402,,
2152,Q106708776,,
2153,Q106707764,,
2154,Q106708569,,
2155,Q106708291,,
2156,Q106709289,,
2157,Q106708420,,
2158,Q106707930,,
2159,Q106707851,,
2161,Q106708355,,
2162,Q106708187,,
2163,Q106709196,,
2164,Q106712001,,
2165,Q106712068,,
2166,Q106709261,,
2167,Q106709322,,
2168,Q106706963,,
2169,Q106710456,,
2170,Q106711094,,
2171,Q106708061,,
2172,Q106712020,,
2173,Q106711331,,
2174,Q106712194,,
2175,Q106708308,,
2176,Q106708507,,
2177,Q106708516,,
2178,Q106709405,,
2179,Q106708170,,
2180,Q106708197,,
2181,Q106709363,,
2182,Q106710238,,
2183,Q106709031,,
2184,Q106711892,,
2185,Q106708749,,
2186,Q106708487,,
2187,Q106708417,,
2188,Q106681404,,
2189,Q106709056,,
2190,Q106709351,,
2191,Q106709354,,
2192,Q106709049,,
2193,Q106711015,,
2194,Q106707842,,
2195,Q106711332,,
2196,Q106711969,,
2197,Q106708120,,
2198,Q106707772,,
2199,Q106710464,,
2200,Q106709243,,
2201,Q106709030,,
2202,Q106708835,,
2203,Q106712136,,
2204,Q106708442,,
2205,Q106708824,,
2206,Q106708825,,
2207,Q106708226,,
2208,Q106709142,,
2210,Q106711626,,
2211,Q106710753,,
2212,Q106708419,,
2213,Q106708887,,
2214,Q106708570,,
2215,Q106708327,,
2216,Q106708453,,
2217,Q106707992,,
2218,Q106711913,,
2219,Q106708300,,
2220,Q106707511,,
2221,Q106707963,,
2222,Q106712052,,
2223,Q106708989,,
2224,Q106709564,,
2225,Q106712018,,
2226,Q106711886,,
2228,Q106709107,,
2229,Q106710024,,
2230,Q106710025,,
2231,Q106710027,,
2232,Q106710975,,
2233,Q106711986,,
2234,Q106706961,,
2235,Q106709333,,
2236,Q106709171,,
2237,Q106707767,,
2238,Q106711935,,
2240,Q106708837,,
2241,Q106708215,,
2242,Q106708557,,
2243,Q106707932,,
2244,Q106711384,,
2245,Q106708443,,
2246,Q106710178,,
2247,Q106708754,,
2248,Q106709396,,
2249,Q106707616,,
2250,Q106709004,,
2251,Q106707050,,
2252,Q106709209,,
2253,Q106709392,,
2254,Q106708117,,
2255,Q106711308,,
2256,Q106708828,,
2257,Q106709248,,
2258,Q106711128,,
2259,Q106712103,,
2260,Q106708473,,
2261,Q106711938,,
2262,Q106709334,,
2263,Q106709113,,
2264,Q106708111,,
2265,Q106707002,,
2266,Q106708820,,
2267,Q106707960,,
2268,Q106707961,,
2269,Q106707962,,
2270,Q106707641,,
2271,Q106709570,,
2272,Q106708362,,
2274,Q106707841,,
2275,Q106708483,,
2276,Q106709369,,
2277,Q106709316,,
2278,Q106706999,,
2279,Q106711894,,
2280,Q106709961,,
2281,Q106710445,,
2282,Q106709109,,
2283,Q106709000,,
2284,Q106687365,,
2285,Q106708394,,
2286,Q106709338,,
2287,Q106708467,,
2288,Q106709249,,
2289,Q106712271,,
2290,Q106710429,,
2291,Q106712084,,
2292,Q106708373,,
2293,Q106709388,,
2294,Q106708785,,
2295,Q106709263,,
2296,Q106681463,,
2297,Q106708302,,
2298,Q106711926,,
2299,Q106711313,,
2300,Q106712113,,
2302,Q106711998,,
2303,Q106708371,,
2304,Q106710208,,
2305,Q106708125,,
2306,Q106687350,,
2307,Q106709050,,
2309,Q106710240,,
2310,Q106709051,,
2312,Q106709386,,
2313,Q106708281,,
2314,Q106708123,,
2315,Q106710750,,
2316,Q106708303,,
2317,Q106707084,,
2318,Q106706962,,
2319,Q106707644,,
2320,Q106708859,,
2322,Q106708444,,
2324,Q106708405,,
2325,Q106708445,,
2326,Q106708469,,
2327,Q106711947,,
