,wikidata,country,bathwateridentifier,status,eionet
741,Q107105821,uk,UKS7616048,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.UKS7616048
742,Q107105829,uk,UKS7616049,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.UKS7616049
743,Q107105837,uk,UKS761605,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.UKS761605
744,Q107105857,uk,UK03600,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.UK03600
745,Q107105875,uk,UK03700,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.UK03700
746,Q107105885,uk,UK03800,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.UK03800
747,Q107105900,uk,UK03900,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.UK03900
748,Q107108573,uk,UK12100,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.UK12100
749,Q107108586,uk,UK17400,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.UK17400
750,Q107108610,uk,UK26700,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.UK26700
751,Q107108622,uk,UK31100,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.UK31100
752,Q107108630,ie,IEEABWC450_0000_0100,404,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.IEEABWC450_0000_0100
753,Q107108644,ie,IEWEBWT270_0100_0100,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.IEWEBWT270_0100_0100
754,Q107108664,ie,IEWEBWC450_0000_0200,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.IEWEBWC450_0000_0200
755,Q107108673,ie,IEWEBWT180_0100_0100,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.IEWEBWT180_0100_0100
